status,listPrice,baths,baths_full,beds,sqft,stories,text,type,year_built
for_sale,240000.0,2,2.0,3.0,1190.0,1.0,Welcome home peaceful retreat nestled 2 acres beautiful land  charming home offers perfect blend comfort serenity  Step inside discover cozy living space relaxation meets functionality  open layout seamlessly connects living room  dining area  kitchen  creating inviting atmosphere everyday living entertaining  Outside  ll find spacious yard plenty room roam explore  Plus  property includes handy storage shed electricity  insulation perfect storing tools  equipment  creating workshopLocated peaceful setting  yet short drive amenities attractions  property offers best worlds rural tranquility suburban convenience  nt miss chance make delightful home  Schedule showing today start living good life   ,single_family,2018
for_sale,379900.0,4,3.0,4.0,2033.0,1.0,Beautiful country home 085 fenced acres  minutes Athens  amenities  Sit swing large front porch  recently updated home  enjoy peace  quietness neighborhood  beautiful 4 bed  35 bath home open diningkitchen area granite counters  bar seating  WBFP center attention spacious living room  New Aerobic system 2022  2 updated bathrooms well new carpet  4th bedroom ensuite  sitting area  could utilized office  2car garage  4 car carport vehicles covered  could want  workshop plenty storage 1st class chicken coup spacious fenced back yard perfect  Buyer obtain survey  Call Listing Agent personal tour ,single_family,2002
for_sale,370000.0,2,2.0,4.0,2062.0,1.0,PRICED SELL CORNER LOT STORM SHELTER GARAGE,single_family,2012
for_sale,444000.0,4,3.0,5.0,3705.0,2.0,Come check country living city  looking large family home  one  5 BR  35 bath  2 large living areas  office  flex room currently used 6th bedroom boasts 3705sqf half acre secluded culdesac Kennedale ISD  street one coveted streets best neighbors Kennedale  Features include  2 huge living areas downstairs plus office  oversized primary BR suite  Updates include  fresh paint outside home  garage  replaced water heaters  laminate flooring primary BR  updated shower  updated second full bath  Kitchen farmhouse charm  granite counter tops   windows overlook backyard acreage plus greenbelt behind country feel  Space chickens  goats fenced pens  shed  garden  dog run  looking large home plenty space family friends host year long  one  Welcome Home ,single_family,1985
for_sale,569000.0,2,2.0,3.0,3282.0,2.0,Welcome dream retreat  Nestled 7 acres secluded land adorned towering mature oaks  massively wellrenovated home offers truly unique living experience  3200 square feet living space  including three bedrooms two baths  property private oasis  Imagine starting mornings balcony sipping coffee watching wildlife  ending days curling watch sunset picturesque landscape  property larger life awaits turn home dreams reality ,single_family,1981
for_sale,875000.0,5,3.0,4.0,4873.0,2.0,Exquisite custom home nestled among mature trees 25 acre serene setting  Corner lot added privacy tucked away secluded cul de sac 10 homes yet close conveniences  Quality craftsmanship extensive wood moulding  nail hardwood flooring  Family room cozy fireplace flanked builtins wall windows allowing natural light  tranquil views  Kitchen offers quartzite counters  stainless appliances  builtin refrigerator  double ovens  2 sinks  walkin pantry  Primary bedroom patio access  Primary bath includes jetted tub  steam shower  walkin closet cedar closet  Separate 600 bottle cooled wine room  Upstairs secondary bedrooms JacknJill bath  HUGE game room  4th living space  Tranquil backyard flagstone covered patio surrounded lush landscape leads additional seating area firepit overlooking expansive backyard  naturally wooded area  Oversized 3 car garage includes workshop  HOA city tax ,single_family,1999
for_sale,214500.0,2,2.0,4.0,2260.0,1.4,Welcome spacious home heart Big Sandy ISD  modern 4bedroom  2bathroom modular home  built 2020  offers large rooms complemented ample storage space throughout  Situated generous lot  fenced front yard offers security  inside  wellappointed kitchen features abundance cabinets  ideal culinary enthusiasts  Whether re seeking comfort  convenience  room grow  property delivers every front ,single_family,2020
for_sale,184900.0,3,3.0,5.0,2109.0,1.0,Potential  Potential  Potential  One Great Investor Opportunity Historic Part Gainesville Value Keep Arising  Property Duplex Separated Driveways  Mailboxes   Meters  Rehab House Turn Back Cash Flow Cow  Selling  Cash  Hard Money  Conventional Financing Accepted,single_family,1956
for_sale,374900.0,2,2.0,4.0,1896.0,1.0,Welcome country living  Spacious lot sitting acre giving plenty room animals families  Remodeled interior fresh paint features granite countertops  gas cooktop  big pantry  Enjoy backyard patio watching Texas sunsets hosting next fire pit kids enjoy playing basketball outside  large 30x30 shop doubles garage space  workshop  mancave  use imagination  Additional 16x20 detached guest room equipped electricty double art studio  movie room  name  Paid solar panels included ,single_family,2000
for_sale,199900.0,2,2.0,3.0,1621.0,1.0,family s needed fill great little starter home near Cedar Creek Lake  322 adorable ready growing family  Large rooms cutie  Includes oversized 2 car detached garage  circular driveway  storage building almost onehalf acre  Close city amenities lake living  enjoy little everything homesite  existing survey available ,single_family,2004
